,max_speed,vision,soc_strength,obs_strength,Run,Evacuation percentage,Evacuation time,Flow,Mean exit time,std exit time
0,3.916015625,2.00390625,2908.203125,4973.6328125,,100.0,26.07,3.908409001184366,11.280999999999999,6.419052527712743
1,3.005859375,2.00390625,2908.203125,4973.6328125,,100.0,31.18,3.1761308950914344,12.722400000000002,7.6037627739976426
2,3.005859375,3.26171875,2908.203125,4973.6328125,,100.0,29.34,3.4615384615384612,12.649699999999998,7.510463872881527
3,3.005859375,2.00390625,2228.515625,4973.6328125,,100.0,33.79,2.978339350180505,13.475900000000001,8.227317897582346
4,3.005859375,2.00390625,2908.203125,4727.5390625,,100.0,31.01,3.254437869822485,13.115,7.906604770057689
5,3.916015625,3.26171875,2228.515625,4727.5390625,,100.0,24.830000000000002,4.022754977651361,11.181299999999998,6.331029669553577
6,4.005859375,1.26171875,1908.203125,3473.6328125,,100.0,27.21,3.7162162162162162,13.465700000000002,6.992635412353558
7,4.005859375,4.00390625,1908.203125,3473.6328125,,100.0,26.580000000000002,3.807692307692307,11.676400000000001,6.446245876398906
8,4.916015625,4.00390625,1908.203125,3473.6328125,,100.0,22.34,4.537121906507791,11.5887,6.050126579358702
9,4.916015625,1.26171875,1228.515625,3227.5390625,,100.0,27.330000000000002,3.705089820359281,14.605100000000002,7.3409108915155565
10,4.505859375,1.00390625,2408.203125,4223.6328125,,100.0,24.57,4.030944625407166,10.627899999999997,5.9233771242050395
11,4.416015625,1.00390625,2408.203125,4223.6328125,,100.0,23.79,4.338299737072743,11.156400000000001,5.9195216364196535
12,4.005859375,4.00390625,1908.203125,3227.5390625,,100.0,25.5,4.011345218800648,12.523100000000001,6.686232756548898
13,4.005859375,4.00390625,1228.515625,3473.6328125,,100.0,28.240000000000002,3.6184210526315788,13.924499999999998,7.551500536551352
14,4.505859375,1.00390625,2728.515625,4223.6328125,,100.0,22.04,4.558011049723757,9.675399999999998,5.410515840154768
15,4.505859375,1.00390625,2408.203125,2477.5390625,,100.0,22.68,4.547542489664676,10.161399999999999,5.639180938448921
16,4.505859375,2.26171875,2408.203125,4223.6328125,,100.0,25.330000000000002,4.119850187265917,11.644399999999997,5.744245485877167
17,4.416015625,2.26171875,2728.515625,2477.5390625,,100.0,23.48,4.380530973451327,11.247099999999998,6.0193296876719495
18,3.505859375,3.00390625,1408.203125,2723.6328125,,100.0,30.080000000000002,3.373083475298126,15.0856,8.336993416833387
19,3.416015625,3.00390625,1408.203125,2723.6328125,,100.0,30.32,3.373083475298126,15.054800000000002,8.545985823588154
20,3.505859375,4.26171875,1408.203125,2723.6328125,,100.0,30.82,3.3288500336247475,15.365599999999997,8.413381635552648
21,3.505859375,3.00390625,1728.515625,2723.6328125,,100.0,27.62,3.6885245901639343,12.569600000000003,7.09166118932951
22,3.505859375,3.00390625,1408.203125,3977.5390625,,100.0,29.02,3.526897043106519,13.980599999999999,7.500948333310256
23,3.755859375,1.50390625,1658.203125,2348.6328125,,100.0,26.23,3.905325443786982,12.6788,6.732880014743267
24,3.166015625,1.50390625,1658.203125,2348.6328125,,100.0,26.52,3.832752613240418,12.610999999999999,6.9515112084213815
25,3.755859375,1.50390625,2978.515625,2348.6328125,,100.0,24.240000000000002,4.228961982058949,10.683900000000001,6.135596897028707
26,3.416015625,4.26171875,1728.515625,3977.5390625,,100.0,26.490000000000002,3.8209185642609027,11.5593,6.653080437138146
27,3.755859375,1.50390625,1658.203125,2102.5390625,,100.0,26.7,3.82830626450116,13.6206,6.785615477916607
