,prob_nearest,Run,Evacuation percentage,Flow,Mean exit time,std exit time
0,0.0,0,100.0,4.157916841663167,11.4043,6.173198384381414
1,0.0,1,100.0,4.345917471466199,11.519299999999998,6.164538740967477
2,0.0,2,100.0,3.8194444444444446,14.211899999999998,7.386926985758644
3,0.0,3,100.0,4.37859354268023,11.28,6.12981239517165
4,0.0,4,100.0,4.06070549630845,11.8992,6.559803624801554
5,0.0,5,100.0,4.4614691302388465,11.057000000000002,5.865239409720061
6,0.0,6,100.0,3.893039716869839,13.2127,6.727169974713504
7,0.0,7,100.0,3.982300884955752,11.9076,6.645866357094734
8,0.0,8,100.0,4.547542489664676,11.058699999999998,5.74311316256086
9,0.0,9,100.0,4.1010770505385254,10.823099999999997,5.822493425231899
10,0.1,10,100.0,4.219948849104859,11.4991,6.223516024488947
11,0.1,11,100.0,4.2181508308478906,10.040000000000001,5.56842069988512
12,0.1,12,100.0,4.227156276686593,11.083,5.837422030279802
13,0.1,13,100.0,4.483695652173913,10.681799999999999,5.791302845341854
14,0.1,14,100.0,3.9855072463768115,11.3563,6.33808428741236
15,0.1,15,100.0,3.8777908343125738,12.274100000000002,6.740352041730806
16,0.1,16,100.0,3.8823529411764706,12.434700000000003,6.610210414750255
17,0.1,17,100.0,4.032586558044806,12.247400000000003,6.825616577025526
18,0.1,18,100.0,4.209183673469387,11.6975,6.550195212604913
19,0.1,19,100.0,3.9711191335740073,12.196299999999999,6.38773614361176
20,0.2,20,100.0,4.16141235813367,11.8025,6.435104227138938
21,0.2,21,100.0,4.212765957446808,11.928500000000001,6.29268669235016
22,0.2,22,100.0,3.9084090011843666,11.6938,6.790579002700667
23,0.2,23,100.0,4.147465437788019,12.439400000000003,6.4996419202067655
24,0.2,24,100.0,4.485727231536021,11.1286,5.9676899444196385
25,0.2,25,100.0,4.123281965847564,11.0123,6.039572172786995
26,0.2,26,100.0,3.846153846153846,12.926900000000005,7.02869079796041
27,0.2,27,100.0,4.032586558044806,12.792599999999998,6.838838672160529
28,0.2,28,100.0,3.7757437070938216,12.197800000000003,6.905522249283797
29,0.2,29,100.0,4.16141235813367,11.8585,6.426016623575188
30,0.30000000000000004,30,100.0,4.191363251481795,11.180800000000001,6.2552679504009365
31,0.30000000000000004,31,100.0,4.143993302637087,11.248399999999998,6.440706517490487
32,0.30000000000000004,32,100.0,4.06070549630845,11.579599999999997,6.177108754559576
33,0.30000000000000004,33,100.0,4.283859800951969,12.1504,6.10040037103047
34,0.30000000000000004,34,100.0,3.8120908740854835,13.4002,7.666195635069034
35,0.30000000000000004,35,100.0,4.2471042471042475,10.5703,6.045091414703438
36,0.30000000000000004,36,100.0,4.465493910690121,10.389599999999998,5.549595475293127
37,0.30000000000000004,37,100.0,4.104477611940299,13.006000000000004,6.607566675693661
38,0.30000000000000004,38,100.0,4.175453395191902,10.900800000000002,6.014158157500877
39,0.30000000000000004,39,100.0,3.6748329621380846,13.292100000000003,7.806735798544923
40,0.4,40,100.0,4.118136439267887,12.173000000000002,6.480177466705677
41,0.4,41,100.0,4.836345872007816,10.2277,5.51892956518332
42,0.4,42,100.0,4.150943396226415,10.651800000000001,6.0907406757961695
43,0.4,43,100.0,4.323144104803494,11.4441,5.616023089645763
44,0.4,44,100.0,4.380530973451327,10.560899999999998,5.631246716834434
45,0.4,45,100.0,4.543368517668656,10.5777,5.8830167920682985
46,0.4,46,100.0,4.455445544554455,10.835899999999999,5.917921095360184
47,0.4,47,100.0,4.338299737072743,11.022,5.726716759931894
48,0.4,48,100.0,4.0097205346294045,11.986100000000004,6.595647615257084
49,0.4,49,100.0,3.772865853658536,13.645200000000003,7.134439659323307
50,0.5,50,100.0,3.908409001184366,13.484300000000003,7.194009749279415
51,0.5,51,98.0,3.553113553113553,14.426020408163266,7.511072615454517
52,0.5,52,100.0,4.4614691302388465,11.220500000000001,5.747777150491933
53,0.5,53,100.0,4.34401053093462,11.008099999999997,6.063713016416142
54,0.5,54,100.0,3.9254559873116577,12.0716,6.6338662371595385
55,0.5,55,100.0,3.9114974318451208,12.015900000000002,6.837944504045353
56,0.5,56,100.0,4.282006920415225,11.555399999999999,6.211912378160159
57,0.5,57,100.0,4.092600248036378,11.622100000000003,6.576246710546966
58,0.5,58,100.0,4.003234937323089,11.3234,6.3278229967965975
59,0.5,59,100.0,4.123281965847563,11.7324,6.592396618204731
60,0.6000000000000001,60,100.0,3.5357142857142856,14.401900000000003,7.703763568620997
61,0.6000000000000001,61,100.0,4.087530966143683,11.470600000000001,6.401845665055658
62,0.6000000000000001,62,100.0,3.975903614457831,12.608000000000002,6.463695818675538
63,0.6000000000000001,63,100.0,3.9935457845905606,12.011800000000004,6.719490026945663
64,0.6000000000000001,64,100.0,4.365079365079365,11.401599999999998,5.868334253354261
65,0.6000000000000001,65,100.0,4.380530973451327,10.611200000000002,5.971039751766163
66,0.6000000000000001,66,100.0,4.372791519434629,11.3827,6.291148319807616
67,0.6000000000000001,67,100.0,4.090909090909091,11.104900000000002,6.212358080406499
68,0.6000000000000001,68,100.0,4.012971220105391,11.4242,6.544955985221356
69,0.6000000000000001,69,100.0,3.8091573682185453,12.233300000000002,6.740998345717769
70,0.7000000000000001,70,100.0,4.451438848920863,10.9077,6.008625089373314
71,0.7000000000000001,71,100.0,4.25257731958763,11.366700000000003,5.891339998658878
72,0.7000000000000001,72,100.0,3.499469777306469,14.984699999999998,7.4026355469119265
73,0.7000000000000001,73,100.0,3.9775010044194454,11.736099999999999,6.671323660551808
