,max_speed,vision,soc_strength,obs_strength,Run,Evacuation percentage,Evacuation time,Flow,Mean exit time,std exit time
0,4.333984375,2.03515625,2712.890625,2090.8203125,,100.0,21.31,4.826913700633837,10.323,5.655909308060915
1,4.333984375,2.03515625,1892.578125,2969.7265625,,100.0,23.38,4.392191659272405,11.7436,5.71388005587528
2,3.681640625,4.73046875,2712.890625,2969.7265625,,100.0,24.91,4.085843995047462,10.648500000000002,5.988693956367307
3,3.333984375,4.03515625,2892.578125,3590.8203125,,100.0,26.3,3.905325443786982,11.5821,6.486883003493288
4,4.681640625,4.03515625,2892.578125,3590.8203125,,100.0,23.36,4.344010530934621,10.2209,5.763102961727713
5,3.333984375,2.73046875,2892.578125,3590.8203125,,100.0,27.71,3.6981695928277922,12.032199999999998,6.584859674229431
6,3.458984375,1.78515625,1767.578125,4528.3203125,,100.0,29.96,3.4185082872928176,13.87,7.811637394802628
7,4.681640625,2.73046875,1712.890625,4469.7265625,,100.0,24.68,4.125,11.825100000000003,6.21347273465028
8,3.333984375,4.03515625,2892.578125,4469.7265625,,100.0,29.900000000000002,3.373083475298126,12.828399999999998,7.3849179802999565
9,3.333984375,4.03515625,1712.890625,3590.8203125,,100.0,28.19,3.60655737704918,13.1119,6.953561066464471
10,3.806640625,1.78515625,1767.578125,4528.3203125,,100.0,27.78,3.6940298507462686,13.2995,7.029984464112034
11,3.458984375,1.78515625,2087.890625,4528.3203125,,100.0,27.02,3.6653091447611996,12.2549,6.664951066374885
12,3.458984375,1.78515625,1767.578125,3532.2265625,,100.0,26.310000000000002,3.908409001184366,11.606000000000002,6.473047149058888
13,3.458984375,2.48046875,1767.578125,4528.3203125,,100.0,30.72,3.3154722036168787,14.107700000000001,7.585186900342754
14,3.806640625,2.48046875,2087.890625,3532.2265625,,100.0,26.400000000000002,3.9145907473309602,11.443900000000001,6.292099085280674
15,4.458984375,3.78515625,2767.578125,3028.3203125,,100.0,22.900000000000002,4.427549194991055,10.347100000000001,5.94517193046831
16,4.806640625,3.78515625,2767.578125,3028.3203125,,100.0,21.77,4.7527604416706675,10.3097,5.302442824688534
17,4.458984375,4.48046875,2767.578125,3028.3203125,,100.0,23.02,4.553817847286109,11.2455,5.863288864888998
18,4.458984375,3.78515625,2767.578125,2032.2265625,,100.0,24.73,4.1842772612003385,11.0404,5.983327326746373
19,4.458984375,3.78515625,1087.890625,3028.3203125,,100.0,25.95,3.9935457845905606,13.3752,7.014491994392319
20,4.806640625,4.48046875,1087.890625,2032.2265625,,99.0,29.87,3.357314148681055,14.949595959595957,9.256934071630527
21,4.958984375,2.78515625,1267.578125,3778.3203125,,100.0,31.07,3.312144529943125,15.794500000000003,9.350004091718436
22,4.306640625,2.78515625,1267.578125,3778.3203125,,100.0,29.87,3.3880903490759753,14.592899999999997,8.458856370751906
23,4.958984375,2.78515625,2587.890625,3778.3203125,,100.0,22.41,4.497955474784189,10.4189,5.7050918060230655
24,4.958984375,2.78515625,1267.578125,2782.2265625,,100.0,25.66,3.9775010044194454,12.536900000000001,7.44369039230983
25,4.958984375,3.48046875,1267.578125,3778.3203125,,99.0,37.02,2.6819923371647505,18.586363636363636,10.944806657240616
26,4.306640625,3.48046875,2587.890625,2782.2265625,,100.0,22.48,4.553817847286108,10.6787,5.868426157468165
27,3.958984375,1.48046875,2267.578125,2278.3203125,,100.0,26.26,3.8641686182669788,12.2279,7.303439247257681
28,3.958984375,4.78515625,2267.578125,2278.3203125,,100.0,25.3,4.042466312780727,12.304,6.510511159314262
29,3.306640625,4.78515625,2267.578125,2278.3203125,,100.0,24.73,4.1370664437944,10.748399999999998,6.054220119266003
30,3.306640625,1.48046875,1587.890625,4282.2265625,,100.0,33.1,3.048968278410841,15.5328,8.969610655604363
31,3.958984375,4.78515625,1587.890625,2278.3203125,,100.0,25.7,3.9520958083832336,12.4411,6.397517336491326
32,3.958984375,4.78515625,2267.578125,4282.2265625,,100.0,25.41,4.029304029304029,11.122900000000001,6.223907197089285
33,3.708984375,2.28515625,2517.578125,2653.3203125,,100.0,23.71,4.282006920415225,11.372599999999998,6.140816518603329
34,3.056640625,2.28515625,2517.578125,2653.3203125,,100.0,26.45,3.765690376569038,11.328700000000003,6.743584703743674
35,3.708984375,2.28515625,2837.890625,2653.3203125,,100.0,23.6,4.330708661417322,10.199000000000002,5.990419539784026
36,3.708984375,2.98046875,2517.578125,2653.3203125,,100.0,23.32,4.370860927152318,10.7973,6.087163651753772
37,3.708984375,2.28515625,2517.578125,3157.2265625,,100.0,25.59,3.870211102423769,10.995800000000001,6.277753117319938
38,3.056640625,2.98046875,2837.890625,3157.2265625,,100.0,26.53,3.8854003139717426,12.566800000000002,6.921252569536322
39,4.056640625,4.28515625,1517.578125,4153.3203125,,100.0,27.27,3.8194444444444446,13.226700000000003,6.90159973477091
40,4.708984375,4.28515625,1517.578125,4153.3203125,,100.0,26.37,3.7989255564082884,14.1756,7.383752614129666
41,4.708984375,4.98046875,1517.578125,4153.3203125,,100.0,27.95,3.673469387755102,14.3596,7.680138877111349
42,4.708984375,4.28515625,1837.890625,4153.3203125,,100.0,27.73,3.6598890942698703,12.3291,7.009679900903559
43,4.208984375,1.28515625,2017.578125,3403.3203125,,100.0,24.7,4.0707236842105265,11.539100000000005,6.380310162341387
44,4.556640625,1.28515625,2017.578125,3403.3203125,,100.0,23.28,4.263565891472868,10.577599999999997,5.723509045854631
45,4.708984375,4.28515625,1517.578125,4657.2265625,,100.0,23.68,4.353562005277045,11.244700000000002,6.277579868070179
46,4.208984375,1.28515625,2337.890625,3403.3203125,,100.0,23.69,4.285714285714286,11.280300000000002,5.837944057472786
47,4.056640625,4.98046875,1837.890625,4657.2265625,,100.0,24.84,4.126719466444352,11.7669,6.2068705325695985
48,4.208984375,1.28515625,2017.578125,3907.2265625,,100.0,25.57,3.9759036144578315,12.103299999999999,6.974318554742843
49,4.208984375,3.98046875,2017.578125,3403.3203125,,100.0,26.02,3.9410828025477707,12.398700000000002,6.529549562171075
50,4.556640625,3.98046875,2337.890625,3907.2265625,,100.0,25.490000000000002,4.060705496308449,11.794599999999997,6.515307138662852
51,3.208984375,3.28515625,1017.578125,4903.3203125,,100.0,33.76,3.0109489051094895,16.7908,8.661074615482162
52,3.208984375,1.98046875,1017.578125,4903.3203125,,100.0,46.6,2.191235059760956,24.8653,13.856210688949764
53,3.556640625,3.28515625,1017.578125,4903.3203125,,100.0,38.75,2.625994694960212,20.281000000000002,11.043581572089462
54,3.208984375,3.28515625,1337.890625,4903.3203125,,100.0,30.86,3.21011673151751,14.172499999999998,7.789991685139687
