,init_desired_speed,Run,Flow / Desired Velocity,width,height,population,vision,max_speed,timestep,prob_nearest
0,0.5,0,0.0,15,15,200,1,5,0.01,1
1,1.0,1,0.0,15,15,200,1,5,0.01,1
2,1.5,2,0.0,15,15,200,1,5,0.01,1
3,2.0,3,0.0,15,15,200,1,5,0.01,1
4,2.5,4,0.9432397203460126,15,15,200,1,5,0.01,1
5,3.0,5,0.9045865721169144,15,15,200,1,5,0.01,1
6,3.5,6,0.7925445059540405,15,15,200,1,5,0.01,1
7,4.0,7,0.8521754025351147,15,15,200,1,5,0.01,1
8,4.5,8,0.7902470018267016,15,15,200,1,5,0.01,1
9,5.0,9,0.7708696494286268,15,15,200,1,5,0.01,1
