,door_size,Run,Evacuation percentage,Evacuation time,Flow,Mean exit time,std exit time,population
0,0.6,200,75.5,98.96000000000001,1.5306122448979589,44.18218543046359,24.224085807147667,200
127,1.9263157894736844,200,100.0,16.990000000000002,11.719670200235571,8.381300000000001,4.386868860817479,200
128,1.9263157894736844,200,100.0,16.91,11.909036505086775,8.17725,4.347050977213456,200
129,1.9263157894736844,200,100.0,17.14,11.944777911164465,8.7467,4.5661549431468185,200
130,2.0368421052631582,200,100.0,15.64,12.871927554980594,7.5467,4.037747656887874,200
131,2.0368421052631582,200,100.0,15.610000000000001,13.083497698882313,7.7606,3.985161628595527,200
132,2.0368421052631582,200,100.0,15.88,12.539382482671707,8.017449999999998,4.058282801132746,200
133,2.0368421052631582,200,100.0,16.47,12.329615861214373,8.07575,4.500472050896942,200
134,2.0368421052631582,200,100.0,15.700000000000001,13.074901445466491,7.65835,4.11061889696435,200
135,2.0368421052631582,200,100.0,16.67,12.05330102967898,7.9395500000000006,4.404865662540133,200
136,2.0368421052631582,200,100.0,16.78,12.016908212560384,8.08275,4.598826585916965,200
137,2.0368421052631582,200,100.0,16.55,12.03143893591294,7.853400000000001,4.356107644336309,200
138,2.0368421052631582,200,100.0,15.55,12.805662805662806,7.496199999999999,3.9860414186200797,200
139,2.0368421052631582,200,100.0,16.03,12.421972534332085,7.7043,4.200569058122995,200
140,2.1473684210526316,200,100.0,15.59,13.161375661375661,7.48075,3.9596888281249942,200
141,2.1473684210526316,200,100.0,15.93,12.626903553299492,7.7993500000000004,4.198391780816332,200
142,2.1473684210526316,200,100.0,15.120000000000001,13.373655913978494,7.35,3.936633385528846,200
143,2.1473684210526316,200,100.0,14.89,13.41874578556979,7.0149,3.8680171630784352,200
144,2.1473684210526316,200,100.0,15.51,13.275517011340893,7.67915,3.9729603379260747,200
145,2.1473684210526316,200,100.0,15.51,13.382649630127775,7.543950000000001,3.8849806008324186,200
146,2.1473684210526316,200,100.0,15.93,13.040629095674968,7.7074,4.062565251428038,200
147,2.1473684210526316,200,100.0,14.68,13.56509884117246,6.918650000000001,3.805506546819943,200
126,1.9263157894736844,200,100.0,16.51,12.291537986411363,8.031199999999998,4.257615885108193,200
148,2.1473684210526316,200,100.0,15.09,13.382649630127775,7.35135,3.779084821479891,200
125,1.9263157894736844,200,100.0,16.43,12.119366626065775,7.795799999999999,4.3294673805209545,200
123,1.9263157894736844,200,100.0,16.96,12.134146341463413,8.5088,4.408415953160546,200
102,1.7052631578947368,200,100.0,19.63,10.247167868177138,9.5562,5.270076287911022,200
103,1.7052631578947368,200,100.0,19.7,10.106653123412901,9.8794,5.442937486542728,200
104,1.7052631578947368,200,100.0,20.64,9.925187032418952,10.1073,5.6791126341672244,200
105,1.7052631578947368,200,100.0,20.44,9.740577581987274,10.2785,5.483979568666147,200
106,1.7052631578947368,200,100.0,20.59,9.954977488744372,9.9474,5.51903906500081,200
107,1.7052631578947368,200,100.0,18.900000000000002,10.59073975518893,9.0516,4.825385181594705,200
108,1.7052631578947368,200,100.0,19.81,10.189452124935997,9.683200000000001,5.255629167830313,200
109,1.8157894736842106,200,99.5,18.44,10.969529085872576,8.778442211055278,4.823932245431341,200
110,1.7052631578947368,200,100.0,21.05,9.590361445783133,10.2408,5.617754461164145,200
111,1.8157894736842106,200,100.0,17.580000000000002,11.754282339043117,8.2349,4.517479395686522,200
112,1.8157894736842106,200,100.0,18.830000000000002,10.607675906183369,8.95615,4.861534042225622,200
113,1.8157894736842106,200,100.0,18.400000000000002,11.167227833894499,9.03655,4.833940161496067,200
114,1.8157894736842106,200,100.0,18.23,10.922063666300769,8.5403,4.8355333546694315,200
115,1.8157894736842106,200,99.5,19.06,10.492845786963436,9.499195979899497,5.175366512838099,200
116,1.8157894736842106,200,100.0,17.86,11.339031339031338,8.644549999999999,4.746755125197946,200
117,1.8157894736842106,200,100.0,18.240000000000002,11.104910714285714,8.8771,4.925460220315412,200
118,1.8157894736842106,200,100.0,18.73,10.63034188034188,9.1427,4.959643335976943,200
119,1.8157894736842106,200,100.0,18.63,10.687432867883997,8.9931,4.899016554986332,200
120,1.9263157894736844,200,100.0,16.25,12.25369458128079,7.97255,4.239402394300878,200
121,1.9263157894736844,200,100.0,17.45,11.576497963932521,8.5854,4.763872399761147,200
122,1.9263157894736844,200,100.0,15.92,12.68323773103888,7.864350000000001,4.173934983168592,200
124,1.9263157894736844,200,100.0,17.45,11.651053864168619,9.1806,4.618767117796936,200
101,1.5947368421052632,200,100.0,21.98,9.30341280972417,11.091750000000001,5.760110310702156,200
149,2.2578947368421054,200,100.0,13.75,14.483260553129549,6.461500000000001,3.5300687923030565,200
151,2.1473684210526316,200,100.0,15.94,12.972620599739244,7.9685500000000005,4.226377970704499,200
177,2.478947368421053,200,100.0,13.61,15.26073619631902,6.518399999999999,3.2813836767697335,200
178,2.478947368421053,200,100.0,14.0,14.600146735143065,7.0571,3.5709811145682377,200
179,2.5894736842105264,200,100.0,12.64,15.756136183689627,5.901549999999999,3.0894160540911906,200
180,2.5894736842105264,200,100.0,13.05,15.546875,6.240350000000001,3.325729659237452,200
181,2.478947368421053,200,100.0,12.82,15.55903049257232,6.257850000000001,3.120517911771769,200
182,2.5894736842105264,200,100.0,13.040000000000001,15.983935742971886,6.394299999999999,3.2033125929011668,200
183,2.5894736842105264,200,100.0,12.59,15.818759936406995,6.0563,3.1361191826265453,200
184,2.5894736842105264,200,100.0,12.59,15.9967845659164,6.0961,3.200097013290747,200
